"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.417006559E0,-2.569948509E-2,5.472791940E-2,-1.459411234E-1
1.426970517E0,-3.422159329E-2,5.366265774E-2,-1.395495385E-1
1.436938330E0,6.258423906E-3,6.218476593E-2,-1.352884769E-1
1.446907288E0,-2.356895804E-2,5.579318479E-2,-1.363537461E-1
1.456875152E0,-4.807002097E-2,5.366265774E-2,-1.416800618E-1
1.466843434E0,-3.102580272E-2,4.514054582E-2,-1.288969070E-1
1.476811350E0,-9.720530361E-3,7.070687413E-2,-1.203747913E-1
1.486766975E0,-4.394212738E-3,4.620581120E-2,-1.299621612E-1
1.496733642E0,8.388951421E-3,5.153212696E-2,-1.246358454E-1
1.506709788E0,-1.824264042E-2,4.087949172E-2,-1.395495385E-1
1.516677444E0,-4.700475931E-2,3.235738352E-2,-1.555284858E-1
1.526649267E0,-6.524739787E-3,2.703106403E-2,-1.512674391E-1
1.536617288E0,-2.356895804E-2,7.856319658E-3,-1.640505940E-1
1.546572444E0,-2.250369452E-2,3.994738800E-4,-1.778990328E-1
1.556539163E0,2.223737910E-2,4.660528619E-3,-1.800295562E-1
1.566501559E0,-2.889527567E-2,-1.731053460E-3,-1.257011145E-1
1.576467861E0,9.147951752E-2,-3.861580743E-3,2.450106293E-2
1.586446142E0,7.763108611E-2,9.986846708E-3,1.001347825E-1
1.596413590E0,-7.683213800E-2,5.472791940E-2,7.882951200E-2
1.606371038E0,-1.119858399E-1,1.165132076E-1,3.515370190E-2
1.616337496E0,-2.676474862E-2,7.816372067E-2,-6.285055727E-2
1.626295517E0,-1.930790395E-2,4.194475710E-2,-6.924213469E-2
1.636261142E0,-3.635212034E-2,-2.942790836E-2,-1.054610983E-1
1.646251975E0,3.182475269E-2,-5.286370963E-2,-1.129179448E-1
1.656220152E0,-6.724476814E-2,-5.805686861E-2,-8.841688186E-2
1.666174267E0,-5.459476262E-3,-3.155843541E-2,-1.022653133E-1
1.676140986E0,9.893636405E-2,-9.187898599E-3,-9.587372839E-2
1.686091871E0,-1.198421582E-3,-4.221107066E-2,-7.456845790E-2
1.696056975E0,-5.872265995E-2,-7.510108501E-2,-6.924213469E-2
1.706046298E0,-1.291632187E-2,-8.042740822E-2,-8.841688186E-2
1.716013798E0,-3.102580272E-2,-6.657897681E-2,-1.352884769E-1
1.725977392E0,1.158474199E-2,-6.551371515E-2,-1.555284858E-1
1.735944527E0,4.780370742E-2,-7.297056168E-2,-1.182442605E-1
1.745929215E0,-3.422159329E-2,-1.038632020E-1,-9.267793596E-2
1.755898121E0,-4.487423226E-2,-1.091895252E-1,-8.841688186E-2
1.765847184E0,4.780370742E-2,-9.747162461E-2,-8.841688186E-2
1.775814059E0,3.182475269E-2,-1.006674170E-1,-1.182442605E-1
1.785814944E0,-6.524739787E-3,-1.272990108E-1,-1.288969070E-1
1.795785257E0,1.797632314E-2,-1.113200486E-1,-1.470063776E-1
1.805733277E0,2.649843320E-2,-1.230379492E-1,-1.629853398E-1
1.815701350E0,-1.504684892E-2,-1.198421568E-1,-1.502021700E-1
1.825644423E0,-1.023984700E-1,-1.251684725E-1,-1.384842694E-1
1.835609944E0,-7.044056058E-2,-1.187768951E-1,-1.448758543E-1
1.845603850E0,-9.920267761E-2,-1.166463718E-1,-1.672463864E-1
1.855572236E0,-3.635212034E-2,-9.427583218E-2,-1.725727171E-1
1.865521871E0,4.460791498E-2,-7.723161578E-2,-1.736379713E-1
1.875488382E0,-6.617950648E-2,-8.575372398E-2,-1.693769246E-1
1.885475257E0,-1.354216337E-1,-9.960214794E-2,-1.981390417E-1
1.895443798E0,-5.126581341E-2,-6.764423847E-2,-1.992042959E-1
1.905397027E0,-4.807002097E-2,-5.073318258E-2,-2.141179889E-1
1.915364007E0,-6.511423737E-2,-2.942790836E-2,-2.066611499E-1
1.925347340E0,-1.375521719E-1,-3.901528195E-2,-1.565937549E-1
1.935315986E0,-7.683213800E-2,-3.262370080E-2,-1.129179448E-1
1.945251663E0,-3.741738573E-2,-3.262370080E-2,-9.054741263E-2
1.955216975E0,-3.209106624E-2,-3.688475490E-2,-7.137266546E-2
1.965206090E0,-1.291632187E-2,-4.327633604E-2,-8.522108942E-2
1.975173746E0,-5.126581341E-2,-5.179844424E-2,-1.480716467E-1
1.985150673E0,-1.343563795E-1,-8.362319320E-2,-2.119874656E-1
1.995119319E0,1.287637353E-1,-4.966791719E-2,-2.354232669E-1
2.005067652E0,1.490037590E-1,-5.286370963E-2,-2.460758984E-1
2.015034215E0,-1.396826953E-1,-1.081242561E-1,-2.556632757E-1
2.024983642E0,3.075948730E-2,-7.190529257E-2,-2.663159072E-1
2.034948486E0,1.564605981E-1,-5.486107618E-2,-2.343579978E-1
2.044937132E0,8.615319431E-2,-5.699160323E-2,-1.832253486E-1
2.054904319E0,7.230477035E-2,-3.581948951E-2,-1.523326933E-1
2.064877288E0,-9.920267761E-2,-4.221107066E-2,-1.118526831E-1
2.074845100E0,1.543300748E-1,9.986846708E-3,-5.326318368E-2
2.084783642E0,2.298306376E-1,3.874896467E-2,-1.278316416E-2
2.094748434E0,-8.109319210E-2,4.660528619E-3,-3.195790946E-2
2.104763017E0,9.321057005E-4,3.235738352E-2,-7.243792713E-2
