"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.244281767E0,-7.097710371E-1,2.081755638E0,1.330289745E1
2.254248798E0,-1.712961912E0,3.111267567E0,1.022662449E1
2.264206350E0,-1.751247048E0,5.672784328E0,1.011864853E1
2.274172392E0,-2.297109842E0,5.201398373E0,2.115853500E1
2.284157705E0,-2.610569477E0,7.308278561E0,3.704687595E0
2.294125673E0,-2.960220814E0,6.302694798E0,-2.924926519E0
2.304089996E0,-3.482155085E0,1.107278705E0,1.042283630E1
2.314057600E0,-2.232503414E0,4.267599106E0,8.435597420E0
2.324019632E0,-1.669592023E0,7.980960846E0,5.236991405E0
2.333986663E0,-1.609771490E0,6.415157318E0,1.011386299E1
2.343927548E0,-1.205384374E0,5.299503803E0,5.299204826E0
2.353891923E0,-1.075872898E0,3.273979664E0,5.497808933E0
2.363883069E0,-9.227322340E-1,2.536391973E0,1.077248764E1
2.373850152E0,-1.114158034E0,5.016851902E0,7.772486210E0
2.383830309E0,-9.897312522E-1,6.374479294E0,6.460321903E0
2.393798746E0,-5.371887088E-1,5.069493771E0,7.511369228E0
2.403763902E0,-3.505485058E-1,4.894817829E0,7.348657608E0
2.413731923E0,-6.550352275E-2,3.965804338E0,1.172273731E1
2.423697496E0,-1.008873820E0,5.694618702E0,9.182756424E0
2.433665309E0,-1.317847013E0,6.987341404E0,3.134896755E0
2.443631715E0,-1.341775298E0,4.308277130E0,9.261718750E0
2.453599371E0,-7.743772268E-1,3.417548895E0,6.024528980E0
2.463597132E0,-2.325823545E0,4.123730659E0,6.180361748E0
2.473567809E0,-3.805485249E0,4.408775806E0,9.757332802E0
2.483585621E0,-4.173980236E0,5.835795403E0,1.039172935E1
2.493561090E0,-2.280359983E0,5.938686848E0,1.760788536E1
2.503458277E0,-1.360917926E0,7.169195652E0,5.660820007E0
2.513425777E0,-1.423131227E0,5.227719307E0,3.553341627E-1
2.523389423E0,-2.553141832E0,1.427916884E0,1.244596767E1
2.533356559E0,-3.144468069E0,3.527618885E0,7.497012615E0
2.543311663E0,-2.864507914E0,6.699903488E0,1.257757282E1
2.553277548E0,-2.804687262E0,7.578667641E0,8.528917313E0
2.563232861E0,-1.671984792E0,7.310671329E0,3.361915946E-1
2.573197705E0,-6.550352275E-2,2.933899641E0,5.538786411E0
2.583194007E0,6.598208547E-1,1.478166223E0,8.785248756E0
2.593161975E0,-7.959126234E-1,4.444668293E0,9.486644745E0
2.603136402E0,-3.364906788E0,7.411170006E0,5.050351143E0
2.613105048E0,-3.791128397E0,6.934699059E0,5.172385216E0
2.623055100E0,-3.156432152E0,3.874877214E0,8.213064194E0
2.633021871E0,-2.574677229E0,2.316252232E0,9.460323334E0
2.642993434E0,-4.880460739E0,3.728914976E0,7.693522930E0
2.652960673E0,-6.137290955E0,4.224528313E0,3.022433996E0
2.662929007E0,-5.636891842E0,2.912364244E0,9.230612755E0
2.672896350E0,-6.213861465E0,2.237289190E0,7.829914093E0
2.682861663E0,-5.483751297E0,2.606082916E0,1.418405437E1
2.692828798E0,-4.664807796E0,1.482951880E0,7.985447407E0
2.702796871E0,-5.117350101E0,1.830210209E0,6.853044033E0
2.712764111E0,-5.684748173E0,1.277169108E0,6.924828529E0
2.722737496E0,-6.091827393E0,3.003291607E0,8.854640007E0
2.732705309E0,-4.645665169E0,5.289932728E0,8.404490471E0
2.742667444E0,-4.032803535E0,5.991328716E0,5.148457050E0
2.752634684E0,-2.852543592E0,3.819842339E0,1.050658512E1
2.762602809E0,-3.108575821E0,5.280361176E0,1.259910870E1
2.772570100E0,-2.912364244E0,6.185147285E0,6.331109524E0
2.782536767E0,-1.712961912E0,4.870889664E0,1.235743332E1
2.792504007E0,1.619940877E0,2.878864765E0,1.412901974E1
2.802448955E0,5.603990555E0,4.830211639E0,1.480409431E1
2.812413902E0,6.726822853E0,8.368897438E0,4.083052635E0
2.822386715E0,6.650252342E0,6.884449959E0,1.431326675E1
2.832352496E0,8.096115112E0,3.331407309E0,1.741137314E1
2.842324267E0,7.294220924E0,6.204289913E0,8.038089752E0
2.852290621E0,5.754738331E0,7.442276478E0,5.734997749E0
2.862257913E0,2.015055656E0,6.333801746E0,4.978267670E0
2.872224319E0,2.005484581E0,5.988935947E0,1.001097202E1
2.882182600E0,6.430711150E-1,7.540382385E0,8.081160545E0
2.892148173E0,-1.047158957E0,8.926724434E0,4.540380955E0
2.902125517E0,-1.451845169E0,6.896413803E0,4.475774765E0
2.912092288E0,-2.636890650E0,3.999304056E0,5.344668388E0
2.922064371E0,-2.929114103E0,4.727320194E0,1.978565216E0
2.932031663E0,-4.193122387E0,3.774378538E0,1.075872898E0
2.941993850E0,-3.489333630E0,2.469393015E0,1.109551907E1
2.951960621E0,-2.560320139E0,3.398406267E0,9.345467567E0
2.961930621E0,-1.693520188E0,3.886841297E0,5.449952602E0
2.971897705E0,-1.102193952E0,3.058326483E0,1.256800175E1
2.981866455E0,-1.037587762E0,2.984148979E0,7.083054066E0
2.991833694E0,-1.408774376E0,1.832603097E0,9.022137642E0
3.001802444E0,-2.407179594E0,9.466604590E-1,1.443081379E1
3.011769840E0,-1.878066659E0,1.739282966E0,6.707081795E0
3.021733434E0,-1.626521230E0,9.227322340E-1,1.675783348E1
3.031700413E0,-2.091027975E0,4.438686073E-1,1.645155334E1
3.041669632E0,-4.427918434E0,4.284348965E0,2.213061810E0
3.051636871E0,-8.555537224E0,5.237290382E0,6.821937561E0
3.061601142E0,-7.786843300E0,3.247658491E0,1.955923080E1
3.071568017E0,-5.809175014E0,4.573880672E0,1.067408276E1
3.081530986E0,-3.465405464E0,6.678368092E0,4.786841869E0
3.091497444E0,-1.980958104E0,4.552345276E0,7.703094482E0
3.101478330E0,-3.333800077E0,2.658725023E0,5.394917965E0
3.111446246E0,-4.451846600E0,3.666701555E0,5.744568825E0
3.121411402E0,-4.585844517E0,4.830211639E0,5.411667347E0
3.131379059E0,-3.879662752E0,4.799104691E0,1.179242802E1
3.141347809E0,-3.510869026E0,4.403990269E0,6.594619274E0
3.151315569E0,-4.844568729E0,4.710570335E0,4.506881237E0
3.161280621E0,-4.559523582E0,1.712961912E0,8.708678246E0
3.171248069E0,-2.804687262E0,4.018446445E0,1.312822151E1
3.181218746E0,-3.537189960E0,7.518846989E0,3.900899172E0
3.191186507E0,-1.480558991E0,5.682355404E0,8.097909927E0
3.201147080E0,5.449653864E-1,1.823031783E0,1.482802296E1
3.211114111E0,9.951151013E-1,2.242074728E0,8.653642654E0
3.221079892E0,1.593619823E0,4.447061062E0,1.018564796E1
3.231046767E0,4.348955154E-1,6.309873104E0,9.644570351E0
3.241020413E0,1.474576890E-1,7.310671329E0,4.743771076E0
3.250988017E0,9.999007583E-1,5.790331841E0,8.210671425E0
3.260945725E0,3.018246651E0,4.186243057E0,7.923233986E0
3.270912288E0,2.955734253E0,5.876473427E0,9.209076881E0
3.280894163E0,3.257529020E0,7.243373394E0,5.768496990E0
3.290862288E0,1.864008784E0,6.043971062E0,7.367800236E0
3.300824267E0,2.062912226E0,5.196612358E0,9.774082184E0
3.310791715E0,6.382854581E-1,4.992923737E0,3.491726398E0
3.320762861E0,1.279860973E0,5.069493771E0,6.479464531E0
3.330730673E0,1.031007409E0,5.617749214E0,7.226623535E0
3.340689423E0,1.677368641E0,5.038387299E0,1.222552872E1
3.350656298E0,2.639881611E0,3.573082447E0,1.592244053E1
3.360623121E0,3.798605800E-1,7.224230766E0,3.273680449E0
3.370589996E0,-8.509475589E-1,5.567500114E0,4.619344234E0
3.380546871E0,-1.715354681E0,2.754437923E0,1.409552002E1
3.390512757E0,-2.256431818E0,6.142076492E0,3.652045488E0
3.400495569E0,-1.104586720E0,6.556334019E0,5.895316601E0
3.410463173E0,-2.148455620E0,4.128516197E0,1.249860954E1
3.420428955E0,-1.830210209E0,4.102195263E0,1.181874943E1
3.430396350E0,-3.077469110E0,2.495713949E0,1.369561958E1
3.440369319E0,-5.016851902E0,5.543571949E0,4.339084625E0
3.450337236E0,-4.051946163E0,5.756832123E0,4.095016956E0
3.460301455E0,-2.993720293E0,2.146361828E0,1.523270893E1
3.470268955E0,-2.469393015E0,4.130908966E0,8.986245155E0
3.480232757E0,-3.752544165E0,4.593023300E0,5.368596554E0
3.490199944E0,-3.345764160E0,2.184647083E0,1.601815224E1
3.500165830E0,-5.074279308E0,4.387240410E0,9.117850304E0
3.510132809E0,-4.028017998E0,6.786344051E0,3.422035456E0
3.520109111E0,-5.529214859E0,5.316253662E0,-3.439682424E-1
3.530077027E0,-3.795913935E0,2.428714991E0,7.214659214E0
3.540038798E0,-2.658426046E0,3.522833109E0,9.292825699E0
3.550006090E0,-1.813460469E0,9.168398857E0,1.377667665E0
3.559974736E0,-2.778366089E0,8.813961983E0,-3.375076294E0
3.569942132E0,-2.641676188E0,2.713759899E0,1.434676647E1
3.579896767E0,-2.584248543E0,1.581356645E0,1.925504303E1
3.589862861E0,1.570289880E-1,6.357729912E0,1.016171932E1
3.599843277E0,2.096710801E-1,5.816652775E0,1.205085278E1
3.609810830E0,1.505085468E0,1.368096352E0,1.674826241E1
3.619782965E0,1.052542806E0,3.293122053E0,8.088338852E0
3.629750934E0,9.376873970E-1,6.882057190E0,5.569892883E0
3.639713382E0,-3.918246925E-2,4.403990269E0,9.144171715E0
3.649680777E0,-1.504487276E0,3.465405464E0,1.119123173E1
3.659644527E0,-1.554736495E0,5.347360611E0,5.557928562E0
3.669611559E0,5.162515044E-1,5.697011471E0,7.930412292E0
3.679585569E0,-4.941178858E-1,4.140779495E0,9.568000793E0
3.689553330E0,-5.204389095E-1,4.971388340E0,1.341326618E1
3.699515673E0,-1.902294010E-1,5.435894966E0,6.024528980E0
3.709482861E0,7.531409264E-1,6.846164703E0,6.168397903E0
3.719446142E0,1.658226132E0,5.672784328E0,1.194796181E1
3.729412913E0,5.090730190E-1,6.364908218E0,8.256134987E0
3.739383225E0,6.358926296E-1,7.133303165E0,8.512166977E0
3.749350361E0,1.562513232E0,5.596213818E0,8.603095055E0
3.759321975E0,3.226422310E0,6.443871498E0,3.419642687E0
3.769289580E0,3.820141315E0,4.573880672E0,1.522313786E1
3.779260048E0,2.125125647E0,3.084647417E0,1.662622833E1
3.789227913E0,4.181756496E0,7.248158932E0,8.509475589E-1
3.799203902E0,5.517549992E0,6.939484596E0,4.892126083E0
3.809172600E0,4.682155609E0,4.741677284E0,9.879366875E0
3.819139423E0,3.082852840E0,5.258825779E0,1.030558777E1
3.829107861E0,1.596012712E0,5.986543179E0,7.544868946E0
3.839075934E0,1.658226132E0,6.024828434E0,1.894816399E0
3.849044319E0,2.788236618E0,5.938686848E0,8.208278656E0
3.859016194E0,2.551347017E-1,7.334599495E0,-3.745963812E0
3.868984944E0,-5.443671346E-1,8.019246101E0,-3.073281527E0
3.878950309E0,3.293122053E-1,2.533999205E0,8.105088234E0
3.888918694E0,1.763510346E0,-8.177471161E-1,1.533320713E1
3.898881975E0,-4.157529399E-2,5.107779026E0,1.132792187E1
3.908849840E0,-4.636093974E-2,7.346563816E0,7.571189880E0
3.918817705E0,-1.549950838E0,5.028815746E0,7.784450054E0
3.928785569E0,-2.416750908E0,3.283550978E0,9.007781029E0
3.938746038E0,-1.154836059E0,3.226123095E0,1.112423229E1
3.948713173E0,-2.694318295E0,5.895616055E0,-1.679761529E0
3.958668955E0,-4.142873287E0,3.218346536E-1,2.389741898E1
3.968634892E0,-1.954637051E0,-6.957131624E-1,3.352194977E1
3.978592080E0,9.720841795E-2,7.576274872E0,4.582255483E-1
3.988557132E0,1.023828983E0,4.667499542E0,7.530511856E0
3.998535517E0,-2.165205479E0,2.292324066E0,8.073982239E0
4.008501923E0,-1.358525038E0,9.216255188E0,-1.110090256E1
4.018471455E0,-4.396811500E-2,8.905188560E0,-1.435693622E0
4.028438173E0,-2.004886389E0,6.204289913E0,1.180917835E1
4.038404632E0,-2.270788670E0,5.242076397E0,1.055444145E1
4.048371298E0,-2.380858511E-1,8.203493118E0,8.213064194E0
4.058336298E0,1.196112275E0,5.775974751E0,4.941178858E-1
4.068302757E0,1.473978758E0,3.518047571E0,7.978269100E0
4.078262496E0,1.498505175E-1,4.480560303E0,-2.189731836E0
4.088228277E0,-9.179465771E-1,1.976172447E0,4.765306473E0
