"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
6.010080560E-1,1.418501840E-1,-1.171847899E-2,1.135288738E-2,-9.897536635E-1,1.636901548E2,-1.478556167E0,-1.144616435E0,-1.636731986E2
6.059920150E-1,1.418180073E-1,-1.169142779E-2,1.139296778E-2,-9.897581339E-1,1.636938796E2,-1.482625272E0,-1.140944125E0,-1.636769285E2
6.109760250E-1,1.418071280E-1,-1.166558638E-2,1.143569872E-2,-9.897595048E-1,1.636951391E2,-1.487039523E0,-1.137334195E0,-1.636781879E2
6.159761290E-1,1.417962924E-1,-1.163987350E-2,1.147753187E-2,-9.897608757E-1,1.636963934E2,-1.491354137E0,-1.133753481E0,-1.636794432E2
6.209609210E-1,1.417890076E-1,-1.159221306E-2,1.151290908E-2,-9.897620678E-1,1.636972367E2,-1.494582691E0,-1.127783118E0,-1.636803350E2
6.259457130E-1,1.417759066E-1,-1.154353935E-2,1.153865457E-2,-9.897642136E-1,1.636987533E2,-1.496695461E0,-1.121863336E0,-1.636819127E2
6.309305560E-1,1.417707599E-1,-1.150609925E-2,1.155746728E-2,-9.897651672E-1,1.636993491E2,-1.498213874E0,-1.117318500E0,-1.636825566E2
6.359228480E-1,1.417444184E-1,-1.146651153E-2,1.157788374E-2,-9.897691607E-1,1.637023984E2,-1.499855476E0,-1.112536120E0,-1.636856565E2
6.409079520E-1,1.417394525E-1,-1.142712682E-2,1.159098744E-2,-9.897701740E-1,1.637029732E2,-1.500694891E0,-1.107863345E0,-1.636862894E2
6.458931610E-1,1.417165984E-1,-1.138572488E-2,1.160578337E-2,-9.897737503E-1,1.637056188E2,-1.501673557E0,-1.102961395E0,-1.636889951E2
6.508783690E-1,1.417123357E-1,-1.133625768E-2,1.161983423E-2,-9.897747636E-1,1.637061123E2,-1.502457168E0,-1.097128578E0,-1.636895641E2
6.558481610E-1,1.417143305E-1,-1.127733476E-2,1.163759641E-2,-9.897749424E-1,1.637058814E2,-1.503514782E0,-1.090153410E0,-1.636894221E2
6.608325360E-1,1.417176721E-1,-1.121642441E-2,1.166081615E-2,-9.897748828E-1,1.637054945E2,-1.505160670E0,-1.082862041E0,-1.636891222E2
6.658169110E-1,1.417513189E-1,-1.116399746E-2,1.166642364E-2,-9.897705913E-1,1.637015996E2,-1.504979474E0,-1.076773169E0,-1.636853169E2
6.708013380E-1,1.417539315E-1,-1.111316867E-2,1.166297961E-2,-9.897708297E-1,1.637012971E2,-1.503763419E0,-1.071059952E0,-1.636851108E2
6.757938380E-1,1.417327228E-1,-1.104375254E-2,1.165788062E-2,-9.897747040E-1,1.637037523E2,-1.502031162E0,-1.063301534E0,-1.636876978E2
6.807786290E-1,1.417360023E-1,-1.097530220E-2,1.165228803E-2,-9.897750616E-1,1.637033726E2,-1.500285109E0,-1.055623497E0,-1.636874483E2
6.857634210E-1,1.417230777E-1,-1.090133563E-2,1.164602861E-2,-9.897778034E-1,1.637048688E2,-1.498356378E0,-1.047355164E0,-1.636890850E2
6.907482650E-1,1.417258166E-1,-1.084480714E-2,1.165027730E-2,-9.897779822E-1,1.637045517E2,-1.497920559E0,-1.040870182E0,-1.636888659E2
6.957304520E-1,9.999999977E-1,9.980827877E-6,6.000288055E-5,-2.909019512E-5,7.726396590E-3,1.143518613E-3,6.875856900E-3,-3.333422203E-3
7.007150880E-1,9.999999905E-1,4.364758629E-5,1.286215160E-4,-2.532843264E-5,1.583277850E-2,5.001271770E-3,1.473906675E-2,-2.901781335E-3
7.056997750E-1,9.999999730E-1,7.081744288E-5,2.212876732E-4,-2.247489741E-6,2.662581089E-2,8.115024797E-3,2.535771785E-2,-2.557476040E-4
7.106844630E-1,9.999999520E-1,9.318627477E-5,2.953695877E-4,1.749055271E-6,3.549193755E-2,1.067842112E-2,3.384684322E-2,2.035810592E-4
7.156645670E-1,9.999999238E-1,1.018409349E-4,3.768042107E-4,-8.748534572E-6,4.473909438E-2,1.166973626E-2,4.317868485E-2,-9.981110757E-4
7.206489420E-1,9.999998961E-1,9.917912332E-5,4.449109146E-4,-5.210912250E-6,5.223783992E-2,1.136482809E-2,5.098309599E-2,-5.920702783E-4
7.256334210E-1,9.999998634E-1,1.219614152E-4,5.051264461E-4,5.655542841E-5,5.989816596E-2,1.397902768E-2,5.788243850E-2,6.487836672E-3
7.306178480E-1,9.999998272E-1,1.566495242E-4,5.633725043E-4,5.982639540E-5,6.735672825E-2,1.795458405E-2,6.455666216E-2,6.865716048E-3
7.355971190E-1,9.999997885E-1,1.995729184E-4,6.049873264E-4,1.310352592E-4,7.452939449E-2,2.287846859E-2,6.932344648E-2,1.502937831E-2
7.405812340E-1,9.999997636E-1,2.161746376E-4,6.391726501E-4,1.327388151E-4,7.880140980E-2,2.478152620E-2,7.324050492E-2,1.522659024E-2
7.455654520E-1,9.999997311E-1,2.310443602E-4,6.643537401E-4,2.075775097E-4,8.403835152E-2,2.649155338E-2,7.612383698E-2,2.380423500E-2
7.505496190E-1,9.999997209E-1,2.510175220E-4,6.723182936E-4,2.076550836E-4,8.561012759E-2,2.878050655E-2,7.703603004E-2,2.381487423E-2
7.555305040E-1,9.999996845E-1,2.761687842E-4,6.803013580E-4,3.030238212E-4,9.101936943E-2,3.167025524E-2,7.794720300E-2,3.474552465E-2
7.605144630E-1,9.999996647E-1,3.091694101E-4,6.947491559E-4,3.037597864E-4,9.383448405E-2,3.545241235E-2,7.960162616E-2,3.483294530E-2
7.654984730E-1,9.999996253E-1,3.182739392E-4,6.922474057E-4,4.108646940E-4,9.919385538E-2,3.650412280E-2,7.931072021E-2,4.710690594E-2
7.704824840E-1,9.999996306E-1,3.245094376E-4,6.820055954E-4,4.102100365E-4,9.848945932E-2,3.721812464E-2,7.813682571E-2,4.703200035E-2
7.754645150E-1,9.999995965E-1,3.146223105E-4,6.530587938E-4,5.305893776E-4,1.029411310E-1,3.609278634E-2,7.481588701E-2,6.082464750E-2
7.804483690E-1,9.999996214E-1,3.329727929E-4,6.063485655E-4,5.278564872E-4,9.971191774E-2,3.819256465E-2,6.946227732E-2,6.051106638E-2
7.854322750E-1,9.999995857E-1,3.497869497E-4,5.575665918E-4,6.287152436E-4,1.043044134E-1,4.012281364E-2,6.386721122E-2,7.206784261E-2
7.904161810E-1,9.999996143E-1,3.623582711E-4,4.988453427E-4,6.254549460E-4,1.006414209E-1,4.155896068E-2,5.713748207E-2,7.169259774E-2
7.954167540E-1,9.999995823E-1,3.784660055E-4,4.410323324E-4,7.054032419E-4,1.047331745E-1,4.340466259E-2,5.050797534E-2,8.085240886E-2
8.004014420E-1,9.999996178E-1,3.668427662E-4,3.705971804E-4,7.018289188E-4,1.001926047E-1,4.206688853E-2,4.243779347E-2,8.043926655E-2
8.053861810E-1,9.999995790E-1,3.384565918E-4,2.854067356E-4,8.037347126E-4,1.051498286E-1,3.881054777E-2,3.267401853E-2,9.211229894E-2
8.103709210E-1,9.999996080E-1,3.154396358E-4,2.093536005E-4,8.004311771E-4,1.014650743E-1,3.616591351E-2,2.396121380E-2,9.173023518E-2
8.153566500E-1,9.999995256E-1,3.112614351E-4,1.588206174E-4,9.091977741E-4,1.116164469E-1,3.568446724E-2,1.816706462E-2,1.041920684E-1
8.203413900E-1,9.999995398E-1,2.968936358E-4,1.013463852E-4,9.066615402E-4,1.099393801E-1,3.403202109E-2,1.158258903E-2,1.038992186E-1
8.253261810E-1,9.999995604E-1,2.795349146E-4,3.819067354E-5,8.942373468E-4,1.074511421E-1,3.203624283E-2,4.347682385E-3,1.024732849E-1
8.303109730E-1,9.999995699E-1,2.544628142E-4,-2.712439456E-5,8.914507428E-4,1.062784497E-1,2.915650853E-2,-3.134219397E-3,1.021519498E-1
8.352984730E-1,9.999996020E-1,2.199845816E-4,-8.643240262E-5,8.603301771E-4,1.022393057E-1,2.519984625E-2,-9.926107400E-3,9.858440834E-2
8.402833170E-1,9.999996035E-1,1.955519323E-4,-1.382663655E-4,8.577303098E-4,1.020482478E-1,2.239500332E-2,-1.586337284E-2,9.828556806E-2
8.452682650E-1,9.999995920E-1,1.722986553E-4,-1.901581382E-4,8.660674022E-4,1.035085903E-1,1.972509324E-2,-2.180760877E-2,9.924027569E-2
8.502532130E-1,9.999995891E-1,1.413111407E-4,-2.340961984E-4,8.643429066E-4,1.038846117E-1,1.616987287E-2,-2.683943465E-2,9.904262996E-2
8.552467540E-1,9.999996107E-1,1.042921725E-4,-2.737352277E-4,8.323428098E-4,1.011138273E-1,1.192489114E-2,-3.137768319E-2,9.537621003E-2
8.602320670E-1,9.999996075E-1,5.267128454E-5,-3.001272634E-4,8.319455120E-4,1.015273568E-1,6.007071023E-3,-3.439706094E-2,9.533214552E-2
8.652174310E-1,9.999996326E-1,-6.828619950E-6,-3.154208975E-4,7.970405297E-4,9.822914892E-2,-8.113107691E-4,-3.614393783E-2,9.133438703E-2
8.702027960E-1,9.999996258E-1,-5.211439655E-5,-3.324653649E-4,7.970127005E-4,9.913849246E-2,-6.002233421E-3,-3.809295338E-2,9.133293804E-2
8.751728480E-1,9.999996405E-1,-9.952950136E-5,-3.364982055E-4,7.718814458E-4,9.716244594E-2,-1.143500293E-2,-3.855103953E-2,8.845495947E-2
8.801573790E-1,9.999996340E-1,-1.458157677E-4,-3.386705888E-4,7.720701865E-4,9.804461809E-2,-1.673921722E-2,-3.879587881E-2,8.847840835E-2
